"Source Name"	"Characteristics[barcode identifier]"	"Term Source REF"	"Term Accession Number"	"Characteristics[material role]"	"Term Source REF"	"Term Accession Number"	"Characteristics[chemical compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Experiment-5123]"	"Term Source REF"	"Term Accession Number"	"Characteristics[consomic_chromosome]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding]"	"Term Source REF"	"Term Accession Number"	"Characteristics[RNAseq data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[ABI-Chip data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of Mallory-Denk bodies by p62 staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment Mallory-Denk bodies by Ubiquitin staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of pigment]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of cellular ballooning]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of steatosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of ductulare reaction]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of inflammation]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of sclerosing cholangitis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of apoptosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of necrosis]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Date"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"EtOH PP 85 15"	"11000011"	""	""	"negative control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000079"	"methanol based zero samples"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"26/02/2009"	"EtOH PP 85 15"	"ZERO_SAMPLE"	""	""	""	""	""	""	""	""	""
"KIT2 L1"	"230614"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"KIT2 L1"	"200030"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"KIT2 L2"	"230628"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"KIT2 L2"	"200043"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"KIT2 L3"	"230631"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"KIT2 L3"	"200057"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"KIT2 L4"	"230645"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"KIT2 L4"	"200061"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"KIT2 L5"	"230659"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"KIT2 L5"	"200074"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"KIT2 L6"	"200088"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"KIT2 L6"	"230662"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"KIT2 L7"	"200091"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"25/01/2010"	"KIT2 L7"	"STANDARD_L7"	""	""	""	""	""	""	""	""	""
"KIT2 L7"	"230676"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"17/05/2010"	"KIT2 L7"	"STANDARD_L7"	""	""	""	""	""	""	""	""	""
"M1001"	"222461"	""	""	"specimen"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0100051"	"not applicable"	""	""	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0002107"	"Control"	""	""	"3"	""	""	"C57BL/6J-Chr03<A/J>/NaJ"	""	""	"consomic mouse strain, C57BL/6J with one chromosome from A/J"	""	""	"control standard diet"	""	""	"Ctl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/04/2010"	"M1001"	"SAMPLE"	""	""	"standard diet"	""	""	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
